epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.02,0.7582,2.12742,1.18593,0.86608,0.815,0.91315,0.70556,1.28899,0.88109,1.20027,0,0,0
2,62.9704,0.93988,2.46804,1.23216,0.77714,0.91251,0.94148,0.70928,1.29429,0.89485,1.20153,1.1311e-06,1.1311e-06,1.1311e-06
3,74.8882,0.71222,2.74052,1.20692,0.76823,0.91349,0.93966,0.70818,1.29946,0.90017,1.19896,2.14438e-06,2.14438e-06,2.14438e-06
4,85.5563,1.07502,2.23568,1.80693,0.77891,0.90888,0.93892,0.70675,1.29856,0.89995,1.1982,3.03986e-06,3.03986e-06,3.03986e-06
5,96.5685,1.23186,3.04062,1.73174,0.78493,0.90049,0.93846,0.6981,1.2947,0.91438,1.19831,3.81752e-06,3.81752e-06,3.81752e-06
6,107.44,0.93811,2.21514,1.22424,0.79519,0.89186,0.9386,0.69991,1.29301,0.9084,1.19602,4.47737e-06,4.47737e-06,4.47737e-06
7,117.604,0.93041,2.45897,1.281,0.79932,0.88041,0.93864,0.69335,1.29586,0.92419,1.19774,5.01942e-06,5.01942e-06,5.01942e-06
8,127.505,0.66312,1.94506,1.05264,0.79015,0.8835,0.94126,0.69453,1.29737,0.91875,1.19706,5.44365e-06,5.44365e-06,5.44365e-06
9,137.45,1.01535,3.04827,1.35877,0.78101,0.87748,0.94107,0.68667,1.3036,0.92313,1.19893,5.75008e-06,5.75008e-06,5.75008e-06
10,147.335,0.85988,1.62922,1.16421,0.77261,0.87352,0.94085,0.68632,1.30591,0.93664,1.20411,5.9387e-06,5.9387e-06,5.9387e-06
11,158.426,0.68454,1.06946,1.11734,0.76279,0.87354,0.94019,0.68053,1.30812,0.94243,1.2064,6.0095e-06,6.0095e-06,6.0095e-06
12,168.594,0.95719,1.79558,1.20028,0.73234,0.85,0.91528,0.68218,1.31955,0.95649,1.21812,5.9625e-06,5.9625e-06,5.9625e-06
13,178.666,0.80771,1.3809,1.18943,0.72881,0.85,0.9156,0.67576,1.3273,0.97365,1.22349,5.79768e-06,5.79768e-06,5.79768e-06
14,189.293,0.87768,1.84457,1.21854,0.71793,0.85,0.90007,0.67054,1.34661,1.00456,1.23621,5.51505e-06,5.51505e-06,5.51505e-06
15,200.717,0.97557,1.79359,1.30915,0.70396,0.85,0.90022,0.66815,1.35193,1.02293,1.23935,5.11462e-06,5.11462e-06,5.11462e-06
16,211.171,0.799,1.51163,1.15813,0.69624,0.85,0.85715,0.66237,1.3348,1.02044,1.23253,4.59638e-06,4.59638e-06,4.59638e-06
17,221.921,0.70492,1.07412,1.07142,0.68889,0.85,0.86308,0.66347,1.32227,1.02979,1.22582,3.96032e-06,3.96032e-06,3.96032e-06
18,235.708,0.76707,1.24424,1.06318,0.68889,0.85,0.86308,0.66347,1.32227,1.02979,1.22582,3.20646e-06,3.20646e-06,3.20646e-06
19,252.489,0.90397,1.92282,1.07063,0.69954,0.85,0.8536,0.66177,1.30417,1.06227,1.22818,2.33478e-06,2.33478e-06,2.33478e-06
20,265.648,0.61664,1.02646,0.95064,0.69954,0.85,0.8536,0.66177,1.30417,1.06227,1.22818,1.3453e-06,1.3453e-06,1.3453e-06
