epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,220.409,2.46076,4.73018,1.81965,0,0,0,0,2.29954,4.77394,1.95207,4.284e-05,4.284e-05,4.284e-05
2,282.756,1.86382,4.32995,1.31955,0,0,0,0,1.55706,4.45987,1.26321,8.91443e-05,8.91443e-05,8.91443e-05
3,331.632,1.50127,3.80702,1.06689,0.00179,0.08001,0.00494,0.00152,1.20089,4.18623,0.98442,0.00013149,0.00013149,0.00013149
4,388.608,1.3422,3.3837,1.00783,0.01841,0.71145,0.09087,0.04835,1.1436,3.95462,0.91947,0.000169878,0.000169878,0.000169878
5,441.438,1.32322,3.00218,0.99565,0.02745,0.93634,0.19118,0.10177,1.1337,3.7075,0.90585,0.000204307,0.000204307,0.000204307
6,494.451,1.31151,2.59104,0.99713,0.02736,0.91414,0.22351,0.14203,1.08688,3.4911,0.89862,0.000234777,0.000234777,0.000234777
7,558.406,1.26507,2.19337,1.02501,0.03133,0.98156,0.38999,0.23417,1.13678,3.32656,0.92935,0.00026129,0.00026129,0.00026129
8,608.766,1.29013,2.02293,1.00623,0.03175,0.99139,0.47525,0.27902,1.15865,3.32769,0.93893,0.000283844,0.000283844,0.000283844
9,658.41,1.26874,1.84568,1.01613,0.02968,0.99603,0.5758,0.36041,1.20665,3.23474,0.97744,0.000302439,0.000302439,0.000302439
10,705.626,1.30076,1.70273,1.01747,0.76259,0.1977,0.63361,0.41302,1.13982,3.08058,0.9584,0.000317076,0.000317076,0.000317076
11,754.074,1.21897,1.64362,0.9931,0.9,0.08669,0.68729,0.4328,1.21324,2.8868,0.98593,0.000327755,0.000327755,0.000327755
12,805.115,1.2147,1.52427,0.99408,0.91031,0.27676,0.79734,0.51548,1.15955,2.5421,0.98217,0.000334475,0.000334475,0.000334475
13,852.815,1.22204,1.40645,0.9991,0.91966,0.39186,0.84223,0.54523,1.14895,2.38562,0.98261,0.000337236,0.000337236,0.000337236
14,903.189,1.19004,1.36321,1.01602,0.90088,0.60173,0.90545,0.61106,1.11876,2.09717,0.98228,0.00033604,0.00033604,0.00033604
15,953.946,1.17896,1.34966,0.99011,0.87545,0.73682,0.93435,0.62481,1.10287,1.88768,0.97755,0.000318158,0.000318158,0.000318158
16,1006.88,1.18675,1.6584,1.02622,0.9372,0.61779,0.95687,0.60114,1.17394,2.02341,1.00125,0.000289884,0.000289884,0.000289884
17,1057.7,1.16196,1.35933,1.04319,0.97802,0.5545,0.95702,0.60357,1.17786,2.12707,1.00265,0.00026161,0.00026161,0.00026161
18,1105.26,1.16672,1.4191,1.01628,0.92216,0.67931,0.95758,0.63182,1.12733,1.81822,0.98097,0.000233335,0.000233335,0.000233335
19,1158.06,1.17579,1.28423,1.01147,0.94087,0.90021,0.98243,0.66596,1.10887,1.26644,0.97706,0.000205061,0.000205061,0.000205061
20,1208.76,1.15867,1.25023,1.02459,0.9589,0.95077,0.9857,0.66879,1.10238,1.04546,0.9775,0.000176786,0.000176786,0.000176786
21,1257.5,1.14296,1.13258,1.02286,0.96843,0.94555,0.98599,0.66447,1.10518,1.03253,0.97823,0.000148512,0.000148512,0.000148512
22,1305.9,1.14906,1.13083,1.01309,0.96824,0.9451,0.98648,0.67233,1.08356,1.01288,0.97141,0.000120238,0.000120238,0.000120238
23,1355.04,1.14118,1.12385,1.00444,0.96554,0.95408,0.98829,0.68529,1.08295,0.95263,0.97063,9.19632e-05,9.19632e-05,9.19632e-05
24,1406.56,1.11178,1.08712,0.99672,0.9733,0.96436,0.99014,0.68601,1.091,0.88456,0.97316,6.36888e-05,6.36888e-05,6.36888e-05
25,1454.03,1.12949,1.09661,0.99996,0.96866,0.97188,0.99056,0.68722,1.08996,0.86142,0.97371,3.54144e-05,3.54144e-05,3.54144e-05
